"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
267284391.019461,10143.57,151418,110.467539930297,-5,156.515162867173,23.0432641638031,501.84507889556,25
264634298.173022,9736.82,151375,110.123000877318,-2.4,155.953497308599,23.2018667064954,698.743843649909,25
261680174.123919,9736.82,151255,109.707521551634,-2,155.371528309314,23.3554060565933,929.075864003544,25
258462387.605153,9736.82,151205,109.24247536414,2.6,154.758638519584,23.5009743839934,1192.2548682797,25
255040634.490195,9196.6,151316,108.723991537625,-2.8,154.099648668288,23.6333978482266,1486.52355522047,25
251435974.102112,9195.93,151577,108.141371254012,-3.6,153.37491971122,23.7481677494691,1808.78066281786,25
247666753.919851,9152.5,151682,107.502758891064,-2,152.568629329398,23.8384449186464,2155.48851737487,25
243747473.865331,8270.44,151803,106.846780699283,-2.8,151.671392717217,23.8986090454297,2522.3839338842,25
239691888.831744,8367.56,151904,106.219360275154,-1,150.673896964188,23.9246980303775,2905.25781674868,48.15
235518018.803564,8367.56,151542,105.664318187593,-7.6,149.570717261032,23.9141207269341,3299.35309999853,48.15
231275857.191057,8367.56,151962,105.223777804382,-9.8,148.36248314898,23.8642783876636,3699.43032427233,48.15
227037046.795288,8227.08,152782,104.918990041475,-6.6,147.056062383049,23.772793332516,3886.93957963708,59.26
222835886.523775,8493.04,153607,104.761215825518,-22.8,145.6647623044,23.6378628051672,4049.65339126435,73.15
218734224.094336,8338.74,154360,104.773054004112,-26.2,144.203547577131,23.4621165922169,4186.21081185557,73.15
214782174.13991,8782.24,155212,104.97966843011,-30.2,142.693605404953,23.2521324762298,4297.46052918518,78.7
211017412.461409,8623.86,155144,105.40048945243,-29.6,141.15875573365,23.0198220966204,4386.72075420044,78.7
207467626.472714,8623.86,155112,106.032453601736,-38,139.630036241438,22.7829339294911,4455.62015121352,78.7
204165376.21834,8623.86,156297,106.835091925726,-45.4,138.130624813909,22.5605563194894,4506.95907967634,78.7
201127492.719931,8160.79,158736,107.754861666834,-34.2,136.676094330617,22.3673813341085,4540.50425710316,78.7
198331261.166328,8733.32,158713,108.727593580815,-34.2,135.274662566979,22.2105446960428,4552.13000407917,78.7
195742192.738942,8989.16,160834,109.708454456591,-34.8,133.930767949358,22.0915455586782,4541.54083726831,78.7
193316688.900893,9203.98,160798,110.657738583362,-35,132.651969793688,22.0100897790722,4510.09395518059,78.7
191027099.740115,8996.37,160727,111.537509288912,-32.6,131.443672287913,21.9640892721837,4458.97137866489,78.7
188856312.572068,8996.37,160780,112.315712114594,-34.2,130.315670958342,21.9504037045366,4389.64206160551,78.7
186807361.622277,8996.37,160668,112.953611863482,-46.2,129.273520719239,21.9733505713569,4305.81777921632,78.7
184885567.611373,9174.39,163139,113.408995306417,-36,128.318723873039,22.0369463384627,4208.69169334403,78.7
183064583.150332,9311.92,164259,113.655748878512,-33,127.448903802059,22.138609823489,4094.93483938105,78.7
181326012.862227,9168.98,165188,113.689830198328,-33.4,126.66163076797,22.2672091415585,3964.42942371844,78.7
179660208.244343,9270.96,165137,113.524417398429,-33.4,125.95156688181,22.4092451726426,3818.76008279402,81.48
178066970.193251,9242.44,165119,113.196157609583,-30.8,125.316930649488,22.554143783233,3660.61997474063,81.48
176554499.01921,9242.44,166278,112.746364057634,-32.6,124.7549486491,22.6950093852097,3493.0216585845,81.48
175150124.45193,9242.44,167343,112.207591590909,-35.8,124.260461303632,22.8249576189729,3320.33280806923,81.48
173885090.200117,9462.34,168302,111.602332737307,-31.6,123.826016544631,22.937251441972,3144.7934528174,81.48
172762271.415113,9514.6,169093,110.966557754986,-29.6,123.441952226758,23.0251094306443,2965.02847078074,81.48
171795955.665961,9432.39,169136,110.349032641672,-28.4,123.095801868585,23.0842729095631,2782.4427270676,81.48
171012061.281351,9452.83,169131,109.80138767214,-24.8,122.776691996645,23.11580196517,2599.54633633316,81.48
170452232.413804,9452.83,169060,109.369015362389,-54.8,122.474066503827,23.1231496956476,2419.54354032986,81.48
170176775.258523,9452.83,169007,109.084118679935,-27.8,122.18090650102,23.1118697224515,2246.39847306753,81.48
170220214.536108,9452.83,170036,108.943798479807,-37,121.893780754696,23.0872552172764,2082.86389153178,81.48
170623799.096841,9452.83,171000,108.925556726088,-56.4,121.612894546909,23.0544816873148,1930.30431653125,81.48
171396304.127122,9538.61,172188,108.994449063582,-31,121.342137529589,23.016484205559,1788.48427487048,81.48
172517760.256329,9320.2,172623,109.130128481832,-32.6,121.089130538907,22.9734359428414,1656.02972294339,81.48
173972577.638303,9439.91,172574,109.310248545207,-32.6,120.86010405478,22.9214987562948,1532.52874743251,81.48
175746027.163327,9612.83,172538,109.518238504602,-31.2,120.664773702035,22.8602429698721,1417.7378798405,81.48
177823192.58602,9612.83,173273,109.736858613272,-31.4,120.511045088156,22.7961021548798,1311.84132459534,81.48
180195555.562461,9612.83,173268,109.9354115552,-33.2,120.404546358342,22.7378436809209,1215.44556101226,81.48
182853651.466834,9785.27,175102,110.071287832906,-33,120.348653816947,22.6920129315795,1128.18275011969,81.48
185755006.15518,9547.85,175801,110.110129561325,-31.8,120.344509677264,22.6609551344867,1048.25173033977,81.48
188851318.895426,9630.56,176431,110.052689863945,-31,120.394864710283,22.6406504686531,974.730446641518,81.48
192089104.687959,9625.48,176390,109.940491791244,-30.6,120.502245602046,22.6265278964413,906.981680322603,81.48
195409071.512441,9625.65,176362,109.826606826326,-28.2,120.670613227814,22.616879174526,844.16492680963,81.48
198748764.096614,9625.65,177138,109.750773058089,-29.6,120.896178088578,22.6120503293629,786.024161686045,81.48
202075406.80734,9625.65,177901,109.736010324927,-32.6,121.175038916457,22.6152225623961,732.561199623178,81.48
205364932.692959,9758.82,177395,109.788214648224,-25.4,121.503145080558,22.629896431858,683.22503601994,77.78
208560788.160858,9889.46,177677,109.901965897992,-27.8,121.876250110167,22.657627589583,636.741367182872,77.78
211630687.38625,9865.32,177776,110.067834197736,-26.6,122.29685701039,22.6983845447848,592.534452856346,77.78
214559131.814308,9629.4,177690,110.279271190845,-26.6,122.770656077981,22.7512526769598,550.555912032754,77.78
217346159.99461,9629.4,177657,110.521823071481,-37.4,123.29812146686,22.8145761803444,510.991502678763,77.78
220009447.01478,9629.4,178165,110.783481258394,-26.4,123.883432221599,22.8879953416666,474.151276738134,77.78
